HPO,freq_base,base.IC,freq_prop,prop.IC,def
HP:0000001,0,0,1,-0,All
HP:0000002,0,0,0.007731958762886598,7.014950341465972,Abnormality of body height
HP:0000003,0,0,0,0,Multicystic kidney dysplasia
HP:0000005,0,0,0,0,Mode of inheritance
HP:0000006,0,0,0,0,Autosomal dominant inheritance
HP:0000007,0,0,0,0,Autosomal recessive inheritance
HP:0000008,0,0,0,0,Abnormality of female internal genitalia
HP:0000009,0,0,0.002577319587628866,8.599912842187127,Functional abnormality of the bladder
HP:0000010,0,0,0,0,Recurrent urinary tract infections
HP:0000011,0,0,0,0,Neurogenic bladder
HP:0000012,0,0,0,0,Urinary urgency
HP:0000013,0,0,0,0,Hypoplasia of the uterus
HP:0000014,0,0,0.002577319587628866,8.599912842187127,Abnormality of the bladder
HP:0000015,0,0,0,0,Bladder diverticulum
HP:0000016,0,0,0,0,Urinary retention
HP:0000017,0,0,0,0,Nocturia
HP:0000019,0,0,0,0,Urinary hesitancy
HP:0000020,0,0,0,0,Urinary incontinence
HP:0000021,0,0,0,0,Megacystis
HP:0000022,0,0,0,0,Abnormality of male internal genitalia
HP:0000023,0.005154639175257732,7.599912842187128,0.005154639175257732,7.599912842187128,Inguinal hernia
HP:0000024,0,0,0,0,Prostatitis
HP:0000025,0,0,0,0,Functional abnormality of male internal genitalia
HP:0000026,0,0,0,0,Male hypogonadism
HP:0000027,0,0,0,0,Azoospermia
HP:0000028,0,0,0,0,Cryptorchidism
HP:0000029,0,0,0,0,Testicular atrophy
HP:0000030,0,0,0,0,Testicular gonadoblastoma
HP:0000031,0,0,0,0,Epididymitis
HP:0000032,0,0,0.002577319587628866,8.599912842187127,Abnormality of male external genitalia
HP:0000033,0,0,0,0,"Ambiguous genitalia, male"
HP:0000034,0.002577319587628866,8.599912842187127,0.002577319587628866,8.599912842187127,Hydrocele testis
HP:0000035,0,0,0.002577319587628866,8.599912842187127,Abnormality of the testis
HP:0000036,0,0,0,0,Abnormality of the penis
HP:0000037,0,0,0,0,Male pseudohermaphroditism
HP:0000039,0,0,0,0,Epispadias
HP:0000040,0,0,0,0,Long penis
HP:0000041,0,0,0,0,Chordee
HP:0000042,0,0,0,0,Absent external genitalia
HP:0000044,0,0,0,0,Hypogonadotrophic hypogonadism
HP:0000045,0,0,0,0,Abnormality of the scrotum
HP:0000046,0,0,0,0,Scrotal hypoplasia
HP:0000047,0,0,0,0,Hypospadias
HP:0000048,0,0,0,0,Bifid scrotum
HP:0000049,0,0,0,0,Shawl scrotum
HP:0000050,0,0,0,0,Hypoplastic male external genitalia
HP:0000051,0,0,0,0,Perineal hypospadias
HP:0000052,0,0,0,0,"Urethral atresia, male"
HP:0000053,0,0,0,0,Macroorchidism
HP:0000054,0,0,0,0,Micropenis
HP:0000055,0,0,0,0,Abnormality of female external genitalia
HP:0000056,0,0,0,0,Abnormality of the clitoris
HP:0000058,0,0,0,0,Abnormality of the labia
HP:0000059,0,0,0,0,Hypoplastic labia majora
HP:0000060,0,0,0,0,Clitoral hypoplasia
HP:0000061,0,0,0,0,"Ambiguous genitalia, female"
HP:0000062,0,0,0,0,Ambiguous genitalia
HP:0000063,0,0,0,0,Fused labia minora
HP:0000064,0,0,0,0,Hypoplastic labia minora
HP:0000065,0,0,0,0,Labial hypertrophy
HP:0000066,0,0,0,0,Labial hypoplasia
HP:0000067,0,0,0,0,"Urethral atresia, female"
HP:0000068,0,0,0,0,Urethral atresia
HP:0000069,0,0,0,0,Abnormality of the ureter
HP:0000070,0,0,0,0,Ureterocele
HP:0000071,0,0,0,0,Ureteral stenosis
HP:0000072,0,0,0,0,Hydroureter
HP:0000073,0,0,0,0,Ureteral duplication
HP:0000074,0,0,0,0,Ureteropelvic junction obstruction
HP:0000075,0,0,0,0,Renal duplication
HP:0000076,0,0,0,0,Vesicoureteral reflux
HP:0000077,0,0,0.005154639175257732,7.599912842187128,Abnormality of the kidney
HP:0000078,0,0,0.002577319587628866,8.599912842187127,Abnormality of the genital system
HP:0000079,0,0,0.007731958762886598,7.014950341465972,Abnormality of the urinary system
HP:0000080,0,0,0,0,Abnormality of reproductive system physiology
HP:0000081,0,0,0,0,Duplicated collecting system
HP:0000083,0,0,0,0,Renal insufficiency
HP:0000085,0,0,0,0,Horseshoe kidney
HP:0000086,0,0,0,0,Ectopic kidney
HP:0000089,0,0,0.002577319587628866,8.599912842187127,Renal hypoplasia
HP:0000090,0,0,0,0,Nephronophthisis
HP:0000091,0,0,0,0,Abnormality of the renal tubule
HP:0000092,0,0,0,0,Tubular atrophy
HP:0000093,0,0,0,0,Proteinuria
HP:0000095,0,0,0,0,Abnormality of renal glomerulus morphology
HP:0000096,0,0,0,0,Glomerulosclerosis
HP:0000097,0,0,0,0,Focal segmental glomerulosclerosis
HP:0000098,0,0,0.005154639175257732,7.599912842187128,Tall stature
HP:0000099,0,0,0,0,Glomerulonephritis
HP:0000100,0,0,0,0,Nephrotic syndrome
HP:0000103,0,0,0,0,Polyuria
HP:0000104,0,0,0,0,Renal agenesis
HP:0000105,0,0,0,0,Enlarged kidney
HP:0000107,0,0,0,0,Renal cyst
HP:0000108,0,0,0,0,Renal corticomedullary cysts
HP:0000110,0,0,0,0,Renal dysplasia
HP:0000111,0,0,0,0,Renal juxtaglomerular cell hypertrophy/hyperplasia
HP:0000112,0,0,0,0,Nephropathy
HP:0000113,0,0,0,0,Polycystic kidney dysplasia
HP:0000114,0,0,0,0,Proximal tubulopathy
HP:0000117,0,0,0,0,Renal phosphate wasting
HP:0000118,0,0,0.9974226804123711,0.003723086042717365,Phenotypic abnormality
HP:0000119,0,0,0.010309278350515464,6.599912842187128,Abnormality of the genitourinary system
HP:0000121,0,0,0,0,Nephrocalcinosis
HP:0000122,0,0,0,0,Unilateral renal agenesis
HP:0000123,0,0,0,0,Nephritis
HP:0000124,0,0,0,0,Renal tubular dysfunction
HP:0000125,0,0,0,0,Pelvic kidney
HP:0000126,0.002577319587628866,8.599912842187127,0.002577319587628866,8.599912842187127,Hydronephrosis
HP:0000127,0,0,0,0,Renal salt wasting
HP:0000128,0,0,0,0,Renal potassium wasting
HP:0000130,0,0,0,0,Abnormality of the uterus
HP:0000131,0,0,0,0,Uterine leiomyoma
HP:0000132,0,0,0,0,Menorrhagia
HP:0000133,0,0,0,0,Gonadal dysgenesis
HP:0000134,0,0,0,0,Female hypogonadism
HP:0000135,0,0,0,0,Hypogonadism
HP:0000136,0,0,0,0,Bifid uterus
HP:0000137,0,0,0,0,Abnormality of the ovary
HP:0000138,0,0,0,0,Ovarian cyst
HP:0000139,0,0,0,0,Uterine prolapse
HP:0000140,0,0,0,0,Abnormality of the menstrual cycle
HP:0000141,0,0,0,0,Amenorrhea
HP:0000142,0,0,0,0,Abnormal vagina morphology
HP:0000143,0,0,0,0,Rectovaginal fistula
HP:0000144,0,0,0,0,Decreased fertility
HP:0000145,0,0,0,0,Transverse vaginal septum
HP:0000147,0,0,0,0,Polycystic ovaries
HP:0000148,0,0,0,0,Vaginal atresia
HP:0000149,0,0,0,0,Ovarian gonadoblastoma
HP:0000150,0,0,0,0,Gonadoblastoma
HP:0000151,0,0,0,0,Aplasia of the uterus
HP:0000152,0,0,0.16752577319587628,2.5775450291586735,Abnormality of head or neck
HP:0000153,0,0,0.041237113402061855,4.599912842187128,Abnormality of the mouth
HP:0000154,0.007731958762886598,7.014950341465972,0.007731958762886598,7.014950341465972,Wide mouth
HP:0000155,0,0,0,0,Oral ulcer
HP:0000157,0,0,0,0,Abnormality of the tongue
HP:0000158,0,0,0,0,Macroglossia
HP:0000159,0,0,0.010309278350515464,6.599912842187128,Abnormal lip morphology
HP:0000160,0.01288659793814433,6.277984747299765,0.01288659793814433,6.277984747299765,Narrow mouth
HP:0000161,0,0,0,0,Median cleft lip
HP:0000162,0,0,0,0,Glossoptosis
HP:0000163,0,0,0.03350515463917526,4.899473124046035,Abnormal oral cavity morphology
HP:0000164,0,0,0,0,Abnormality of the dentition
HP:0000166,0,0,0,0,Severe periodontitis
HP:0000168,0,0,0,0,Abnormality of the gingiva
HP:0000169,0,0,0,0,Gingival fibromatosis
HP:0000171,0,0,0,0,Microglossia
HP:0000172,0,0,0.002577319587628866,8.599912842187127,Abnormality of the uvula
HP:0000174,0,0,0.007731958762886598,7.014950341465972,Abnormal palate morphology
HP:0000175,0,0,0.005154639175257732,7.599912842187128,Cleft palate
HP:0000176,0,0,0,0,Submucous cleft hard palate
HP:0000177,0,0,0.010309278350515464,6.599912842187128,Abnormality of upper lip
HP:0000178,0,0,0,0,Abnormality of lower lip
HP:0000179,0,0,0,0,Thick lower lip vermilion
HP:0000180,0,0,0,0,Lobulated tongue
HP:0000182,0,0,0,0,Movement abnormality of the tongue
HP:0000183,0,0,0,0,Difficulty in tongue movements
HP:0000185,0,0,0,0,Cleft soft palate
HP:0000187,0,0,0,0,Broad alveolar ridges
HP:0000188,0,0,0,0,Short upper lip
HP:0000189,0,0,0,0,Narrow palate
HP:0000190,0,0,0,0,Abnormal oral frenulum morphology
HP:0000191,0,0,0,0,Accessory oral frenulum
HP:0000193,0.002577319587628866,8.599912842187127,0.002577319587628866,8.599912842187127,Bifid uvula
HP:0000194,0,0,0,0,Open mouth
HP:0000196,0,0,0,0,Lower lip pit
HP:0000197,0,0,0,0,Abnormal parotid gland morphology
HP:0000198,0,0,0,0,Absence of Stensen duct
HP:0000199,0,0,0,0,Tongue nodules
HP:0000200,0,0,0,0,Short lingual frenulum
HP:0000201,0,0,0,0,Pierre-Robin sequence
HP:0000202,0,0,0.005154639175257732,7.599912842187128,Oral cleft
HP:0000204,0,0,0.002577319587628866,8.599912842187127,Cleft upper lip
